iter	Passed	Remaining
587	6877	1415
588	6889	1403
589	6900	1391
590	6912	1380
591	6923	1368
592	6933	1356
593	6944	1344
594	6956	1332
595	6966	1320
596	6979	1309
597	6989	1297
598	7001	1285
599	7013	1274
600	7024	1262
601	7037	1250
602	7050	1239
603	7060	1227
604	7070	1215
605	7080	1203
606	7092	1191
607	7103	1180
608	7115	1168
609	7126	1156
610	7137	1144
611	7147	1132
612	7161	1121
613	7173	1109
614	7185	1098
615	7198	1086
616	7212	1075
617	7223	1063
618	7235	1052
619	7247	1040
620	7258	1028
621	7269	1016
622	7281	1005
623	7293	993
624	7306	982
625	7318	970
626	7328	958
627	7342	946
628	7353	935
629	7364	923
630	7375	911
631	7388	900
632	7399	888
633	7411	876
634	7422	865
635	7434	853
636	7446	841
637	7459	830
638	7472	818
639	7484	806
640	7497	795
641	7509	783
642	7520	771
643	7532	760
644	7545	748
645	7557	737
646	7570	725
647	7581	713
648	7592	701
649	7602	690
650	7614	678
651	7627	666
652	7639	655
653	7650	643
654	7664	631
655	7677	620
656	7687	608
657	7698	596
658	7708	584
659	7720	573
660	7733	561
661	7745	549
662	7757	538
663	7768	526
664	7780	514
665	7793	503
666	7803	491
667	7814	479
668	7825	467
669	7838	456
670	7850	444
671	7863	432
672	7876	421
673	7887	409
674	7900	397
675	7912	386
676	7924	374
677	7935	362
678	7948	351
679	7959	339
680	7970	327
681	7982	316
682	7993	304
683	8007	292
684	8017	280
685	8028	269
686	8041	257
687	8052	245
688	8066	234
689	8078	222
690	8091	210
691	8104	199
692	8115	187
693	8127	175
694	8141	163
695	8154	152
696	8166	140
697	8180	128
698	8192	117
699	8203	105
700	8215	93
701	8226	82
702	8238	70
703	8250	58
704	8261	46
705	8272	35
706	8284	23
707	8295	11
708	8306	0
