iter	Passed	Remaining
285	8064	19088
286	8091	19058
287	8119	19031
288	8149	19006
289	8175	18973
290	8208	18956
291	8235	18924
292	8261	18892
293	8292	18868
294	8319	18839
295	8350	18817
296	8379	18791
297	8410	18768
298	8438	18739
299	8466	18710
300	8492	18678
301	8522	18653
302	8547	18619
303	8575	18590
304	8602	18558
305	8635	18540
306	8661	18508
307	8690	18481
308	8718	18453
309	8746	18423
310	8773	18394
311	8803	18369
312	8835	18349
313	8862	18318
314	8890	18288
315	8926	18276
316	8954	18248
317	8985	18224
318	9014	18198
319	9042	18169
320	9075	18151
321	9103	18122
322	9136	18102
323	9162	18070
324	9188	18036
325	9214	18005
326	9243	17979
327	9270	17946
328	9296	17915
329	9332	17901
330	9362	17877
331	9395	17856
332	9427	17836
333	9454	17805
334	9482	17776
335	9511	17749
336	9537	17715
337	9569	17694
338	9598	17667
339	9632	17649
340	9661	17623
341	9687	17591
342	9715	17561
343	9743	17533
344	9772	17505
345	9801	17477
346	9828	17447
347	9854	17414
348	9881	17384
349	9907	17352
350	9940	17331
351	9972	17309
352	10002	17285
353	10030	17256
354	10065	17238
355	10093	17210
356	10119	17177
357	10146	17147
358	10178	17124
359	10205	17094
360	10237	17072
361	10268	17048
362	10294	17016
363	10327	16995
364	10362	16978
365	10391	16950
366	10426	16931
367	10454	16902
368	10482	16873
369	10512	16848
370	10540	16819
371	10570	16793
372	10597	16762
373	10624	16732
374	10651	16701
375	10677	16669
376	10708	16644
377	10736	16615
378	10763	16586
379	10790	16554
380	10825	16536
381	10851	16505
382	10880	16477
383	10909	16449
384	10936	16419
385	10964	16389
386	10993	16362
387	11022	16335
388	11050	16305
389	11077	16276
390	11106	16247
391	11136	16222
392	11173	16205
393	11207	16185
394	11236	16157
395	11267	16132
396	11297	16106
397	11324	16076
398	11359	16057
399	11390	16031
400	11416	16000
401	11442	15968
402	11475	15945
